benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,property_N=8_0.vnnlib,UNSAT,61.8,49.5,11.8,600,1.0000,2.7941,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:25:11.263809+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,property_N=8_1.vnnlib,UNSAT,67.1,50.8,15.7,600,1.0000,3.8998,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:26:26.777234+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,property_N=8_2.vnnlib,UNSAT,67.9,55.5,11.8,600,1.0000,3.0355,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:27:43.078550+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,SAT,0.1,0.0,0.0,600,,,,,,,,"[0.9672079682350159, 1.014675259590149]",[1.2232561111450195],,2026-05-02T13:27:50.783137+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,property_N=16_0.vnnlib,UNSAT,63.3,51.2,11.6,600,1.0000,3.6915,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:29:02.269960+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,SAT,0.1,0.0,0.0,600,,,,,,,,"[0.9672079682350159, 1.014675259590149]",[-2.136526107788086],,2026-05-02T13:29:09.931375+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,property_N=16_2.vnnlib,UNSAT,63.0,50.7,11.6,600,1.0000,3.2931,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:30:21.016076+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,property_N=16_3.vnnlib,UNSAT,63.0,50.7,11.7,600,1.0000,3.7217,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:31:32.586654+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,property_N=24_0.vnnlib,UNSAT,67.0,54.5,11.8,600,1.0000,3.5420,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:32:48.006204+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,property_N=24_1.vnnlib,UNSAT,61.8,49.5,11.6,600,1.0000,3.8146,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T13:33:58.362830+00:00
